Method,DEMaP (mean),DEMaP (std),ARI,NMI,Trustworthiness,Continuity,Runtime (s)
PCA,0.6147,0.0100,-0.0000,0.0391,0.7565,0.9212,0.0009
t-SNE,0.3683,0.0105,0.4553,0.6091,0.9219,0.9732,13.2517
UMAP,0.2843,0.0120,0.7368,0.7707,0.8604,0.9791,16.4597
PHATE,0.3377,0.0122,0.6405,0.6956,0.8170,0.9581,4.7259
HeatGeo,0.1731,0.0069,0.0972,0.1196,0.5486,0.6841,65.5573
DTNE,0.2537,0.0143,0.4512,0.6418,0.8361,0.9717,2.2933
EntroPath,0.4926,0.0113,0.4268,0.6159,0.8117,0.9658,13.9985
